,Gender,Age,Income (USD),Income Stability,Profession,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
0,0,56,1933.05,1,7,1,72809.58,241.08,0,0,3.0,809.44,0,3,4,0,1.0,119933.46,54607.18
1,1,32,4952.91,1,7,1,46837.47,495.81,0,1,1.0,780.4,0,2,2,0,1.0,54791.0,37469.98
2,0,65,988.19,0,3,1,45593.04,171.95,0,1,1.0,833.15,0,2,2,2,0.0,72440.58,36474.43
3,0,65,2630.574417479547,0,3,0,80057.92,298.54,0,1,2.0,832.7,1,2,2,1,1.0,121441.51,56040.54
4,0,31,2614.77,1,7,1,113858.89,491.41,0,1,2.2530265023448575,745.55,1,0,4,1,1.0,208567.91,74008.28
5,0,60,1234.92,1,4,0,34434.72,181.48,0,0,2.0,684.12,1,1,2,0,1.0,43146.82,22382.57
6,1,43,2361.56,1,7,1,152561.34,697.67,1,1,2.0,637.29,0,2,1,1,1.0,221050.8,0.0
7,0,45,2630.574417479547,1,4,1,240311.77,807.64,0,0,2.0,812.26,0,0,2,2,1.0,401040.7,168218.24
8,0,38,1296.07,1,7,0,35141.99,155.95,0,1,3.0,705.29,1,0,4,0,1.0,54903.44,22842.29
9,1,18,1546.17,1,7,0,42091.29,500.2,0,0,2.0,613.24,0,2,2,2,1.0,67993.43,0.0
10,1,18,2416.86,1,4,1,25765.72,140.02,0,1,1.0,652.41,0,0,2,0,1.0,32423.71,16747.72
11,0,39,2719.74,1,1,1,20879.96,93.99,1,0,2.0,646.21,0,3,2,0,0.0,33568.47,0.0
12,0,48,777.25,1,7,1,96080.6,342.33,0,0,3.0,764.11,0,0,1,1,1.0,146073.26,67256.42
13,0,43,997.25,1,7,0,48894.06,178.06,1,0,1.0,726.28,0,3,4,0,1.0,80607.4,34225.84
14,1,61,1664.52,1,7,1,72448.95,398.88,0,1,2.0,781.51,0,0,4,2,1.0,113464.01,54336.71
15,0,54,3716.54,1,7,0,116487.58,521.23,1,1,4.0,749.33,1,0,1,2,1.0,194442.39,75716.93
16,0,61,2077.42,1,7,1,70815.01,417.01,0,0,1.0,779.55,0,1,4,0,1.0,102502.2,0.0
17,1,64,2346.88,1,7,0,89489.99,327.14,0,1,1.0,803.04,0,0,4,0,1.0,148424.56,67117.49
18,1,65,1523.03,0,3,1,66567.35,299.53,1,1,3.0,862.33,0,2,4,1,0.0,118617.77,46597.14
19,0,41,1837.17,1,7,0,112910.57,422.61,1,0,2.2530265023448575,722.74,0,1,4,2,1.0,128407.6,73391.87
20,0,32,1537.82,1,7,0,93103.63,351.54,1,1,3.0,671.65,0,1,2,2,0.0,116861.82,0.0
21,0,19,2889.94,1,7,0,57810.08,264.92,0,1,2.0,787.74,0,1,3,1,1.0,80756.7,40467.06
22,0,44,1266.06,1,7,1,12402.54,136.65,0,1,3.0,804.2,0,2,4,1,1.0,21913.58,48210.12045222018
23,0,24,2538.85,1,7,0,120525.64,552.77,1,1,3.0,721.27,1,1,1,0,1.0,170642.55,84367.95
24,0,55,2497.4,1,7,1,115851.35,479.87,0,1,2.0,712.05,0,2,1,1,0.0,151126.46,0.0
25,0,63,700.07,0,3,1,38101.51,240.38,0,1,2.0,860.88,0,2,4,2,1.0,47390.38,28576.13
26,1,18,4028.01,1,4,0,95922.71,417.05,0,1,2.0,620.0,0,0,4,1,0.0,139522.21,0.0
27,0,18,5350.94,1,1,1,99492.44,516.71,1,1,2.0,733.68,0,1,3,0,0.0,188950.33,0.0
28,0,23,4141.15,1,4,0,168825.55,621.83,1,0,3.0,637.03,0,0,1,1,0.0,193087.29,0.0
